songs,artist
The Kind of Love We Make,Luke Combs
Running Up That Hill (A Deal with God),Kate Bush
Jimmy Cooks (feat. 21 Savage),Drake
Yet To Come,BTS
As It Was,Harry Styles
About Damn Time,Lizzo
Hold My Hand,Lady Gaga
The King and I (feat. CeeLo Green) [From the Original Motion Picture Soundtrack ELVIS],Eminem
You Proof,Morgan Wallen
Wasted On You,Morgan Wallen
First Class,Jack Harlow
Rock and A Hard Place,Bailey Zimmerman
She Had Me At Heads Carolina,Cole Swindell
AA,Walker Hayes
You Might Not Like Her,Maddie Zahm
About Damn Time,Lizzo
Fuck You,CeeLo Green
No Diggity (feat. Dr. Dre & Queen Pen),Blackstreet
Run BTS,BTS
Gotta Move On,Diddy & Bryson Tiller
Like I Love Country Music,Kane Brown
For Youth,BTS
Can't Feel My Face,The Weeknd
Sign of the Times,Harry Styles
I Like You (A Happier Song) [feat. Doja Cat],Post Malone
Sticky,Drake
Danger Zone,Kenny Loggins
Unstoppable,Sia
Bam Bam (feat. Ed Sheeran),Camila Cabello
Jiggle Jiggle,Duke & Jones & Louis Theroux
Sunroof,Nicky Youre & Dazy
I Ain't Worried,OneRepublic
Fall In Love,Bailey Zimmerman
So Good,Halsey
'Til You Can't,Cody Johnson
Fancy Like,Walker Hayes
My Girl,The Temptations
She Likes It (feat. Jake Scott),Russell Dickerson & Jake Scott
Wellerman (Sea Shanty),Nathan Evans
Starboy (feat. Daft Punk),The Weeknd
Poison,Bell Biv DeVoe
Big Energy (Remix) [feat. DJ Khaled],Latto & Mariah Carey
Born Singer,BTS
Surprise,Chlöe
Take My Name,Parmalee
5 Foot 9,Tyler Hubbard
Super Freak,Rick James
Cold Heart (PNAU Remix),Elton John & Dua Lipa
FREEDOM,Jon Batiste
Grrrls,Lizzo
Knock You Down (feat. Kanye West & Ne-Yo),Keri Hilson
WAIT FOR U (feat. Drake & Tems),Future
Music For a Sushi Restaurant,Harry Styles
Can't Stop Us Now,Pitbull & Zac Brown
All My Life,K-Ci & JoJo
Kiss from a Rose,Seal
Shivers,Ed Sheeran
Don’t Come Lookin’,Jackson Dean
Whiskey On You,Nate Smith
Big Energy,Latto
Glimpse of Us,Joji
Call Me Every Day (feat. Wizkid),Chris Brown
Damn Strait,Scotty McCreery
In Jesus Name (God Of Possible),Katy Nichole
Vegas (From the Original Motion Picture Soundtrack ELVIS),Doja Cat
Tomorrow Me,Luke Combs
Heat Waves,Glass Animals
Rise Up,Andra Day
Sand In My Boots,Morgan Wallen
2step (feat. Lil Baby),Ed Sheeran
"Thick Fine Woman (feat. Lil' Ronny Mothaf, Fat Pimp & No Shame)",Chalie Boy
Massive,Drake
Respect,Aretha Franklin
Buy Dirt (feat. Luke Bryan),Jordan Davis
Son Of A Sinner,Jelly Roll
Rome,Dermot Kennedy
I NEED YOU,Jon Batiste
Numb Little Bug,Em Beihold
Holy Water,Noah Davis
Tennessee Whiskey,Chris Stapleton
"Hold My Hand (Music From The Motion Picture ""Top Gun: Maverick"")",Lady Gaga
Sexy Love,Ne-Yo
When You're Gone,Shawn Mendes
If I Was a Cowboy,Miranda Lambert
Late Night Talking,Harry Styles
Actin' Up,Miranda Lambert
Soul,Lee Brice
Heartache,From Ashes to New
Flight's Booked,Drake
Night Changes,One Direction
Tití Me Preguntó,Bad Bunny
Watermelon Sugar,Harry Styles
Thought You Should Know,Morgan Wallen
Bones,Imagine Dragons
Drunk (And I Don't Wanna Go Home),Elle King & Miranda Lambert
So Sick,Ne-Yo
End of the Road,Boyz II Men
Falling Back,Drake
Blinding Lights,The Weeknd
"Enemy (From the series ""Arcane League of Legends"")","Imagine Dragons, JID & League of Legends"
